metallicity,common_alpha,sigma_bh,sigma_sn
0.00616,2.16364,873.96402,850.16329
0.00382,0.22853,481.58268,990.10194
0.01993,3.96646,950.94287,431.25297
0.01827,6.48929,59.37444,143.43668
0.01061,4.51283,249.34521,625.86066
0.01785,5.7609,61.64737,775.12884
0.02738,2.64197,47.00286,181.46234
0.00324,9.75396,199.42899,914.50224
0.02684,4.93574,343.50363,902.59694
0.00172,1.9685,947.08574,856.01553
0.02529,3.05454,254.86595,947.50147
0.00495,4.46374,527.92489,269.87461
0.0236,9.59171,346.03532,566.43209
0.01722,3.57661,364.12168,317.53078
0.01599,7.71317,391.77813,198.98788
0.00373,2.53962,566.47291,250.63458
0.01764,6.40569,523.39277,82.67717
0.00286,1.13117,723.37842,594.56531
0.00783,2.10079,229.50527,773.06141
0.02408,5.68778,484.07544,987.86682
0.00081,8.47985,714.94004,766.88056
0.00133,5.58324,473.93662,522.95331
0.02928,3.1111,842.75177,855.14412
0.01903,7.35485,618.43349,817.48126
0.02394,1.49596,960.52313,475.77846
0.0291,7.05445,463.40205,318.24213
0.02021,8.29263,74.9786,5.23617
0.01705,1.18772,116.83468,878.14284
0.02804,8.95416,404.35584,684.98701
0.01188,2.75374,902.50444,677.86673
0.02583,9.16704,1.44172,413.16033
0.02361,5.40578,697.66803,694.4204
0.00548,2.88543,540.41798,726.70914
0.02566,1.84444,969.80714,616.4813
0.00636,4.31431,855.06168,820.42233
0.00088,9.38431,676.601,958.49705
0.01136,5.62945,824.81746,472.47559
0.02677,5.7871,192.12151,158.91633
0.01751,7.2495,854.06941,916.68948
0.0225,5.94901,338.02524,482.89377
0.0267,7.14783,377.33379,746.25437
0.00066,2.62086,654.28652,279.0215
0.00791,3.20867,144.81185,28.40221
0.01374,7.9832,732.9883,168.19146
0.01492,4.47618,992.08429,179.29783
0.00964,3.65722,104.93533,647.46403
0.01111,6.4734,6.21813,186.26257
0.01358,8.48347,588.31291,412.41617
0.0215,2.5196,610.38814,845.35576
0.02274,7.95942,550.36061,428.87356
0.00175,1.33986,260.9718,283.96919
0.0201,2.00397,67.88603,768.15261
0.00285,9.27472,616.46378,242.02846
0.01842,1.20525,536.0307,652.30784
0.01499,9.76612,633.07949,682.27336
0.029,9.67278,454.07206,641.81629
0.02609,6.33329,266.72825,854.63922
0.02678,3.91903,176.23536,864.81871
0.01669,6.77715,296.51761,674.73822
0.00422,1.17837,571.20033,602.33532
0.00251,5.00539,183.96058,861.78525
0.01021,4.21323,327.00754,664.7317
0.02261,8.07407,782.7679,397.37067
0.0032,3.1579,531.14508,621.30566
0.00537,8.71721,961.51691,52.91964
0.02556,2.20439,734.685,651.16577
0.00132,2.69378,861.43835,332.23479
0.00402,3.23692,388.13579,226.35107
0.01594,2.26192,982.55894,248.18481
0.01268,4.27503,81.65798,270.89491
0.00394,6.68536,5.34667,822.29778
0.01175,8.81989,316.88021,843.33903
0.02168,0.72183,286.75212,593.39677
0.02832,2.33292,584.59725,951.37029
0.02869,1.75855,241.03312,931.42873
0.01367,4.00887,294.56099,11.93475
0.00989,7.67559,175.26303,297.70445
0.00282,7.58008,179.02893,498.817
0.01936,2.39596,403.32762,41.46563
0.02212,5.11929,834.44904,435.04191
0.02752,2.76264,923.68967,719.84234
0.00209,0.60006,319.04219,708.17725
0.02683,8.05514,980.13304,913.56144
0.02893,7.73012,878.27159,761.58983
0.0011,9.31748,265.20993,439.1361
0.01863,9.79524,351.91742,344.80338
0.01658,0.89828,844.6466,418.0088
0.0036,6.04332,729.77972,930.62647
0.00241,6.90996,796.52965,826.35885
0.01296,9.64909,375.52457,60.14527
0.00557,7.21855,746.74457,387.53708
0.01808,8.61364,355.18762,373.01948
0.01935,5.34642,587.83294,184.67016
0.01801,3.29686,101.47988,731.493
0.00572,3.12477,807.20065,901.90452
0.02944,0.40787,25.13288,213.20922
0.02175,5.65267,432.44178,642.7223
0.01196,0.30106,683.44249,754.55387
0.02493,3.54827,670.11934,618.00298
0.02934,3.53702,998.21445,153.00996
0.00189,2.82595,45.16805,709.9527
0.00214,1.30458,184.18882,631.53144
0.01369,0.59215,868.17368,989.64829
0.00795,8.96942,209.45886,952.29006
0.02246,9.53293,979.4203,777.14322
0.02239,4.3484,475.98073,906.47721
0.024,7.28928,352.50699,612.27785
0.00086,3.7062,289.10722,668.74366
0.02474,4.20534,731.16809,998.88926
0.02486,5.44282,624.3327,209.7537
0.00288,0.18082,207.48167,441.65519
0.02545,0.3665,373.00784,713.97952
0.00779,1.52839,967.68022,600.28765
0.01989,0.47145,469.71782,536.85662
0.02227,7.09092,804.80973,853.7536
0.00763,1.58338,80.24922,293.2322
0.00237,2.37725,756.47405,597.93317
0.01998,1.80925,774.86863,98.28264
0.01559,4.90469,790.94634,340.32049
0.0116,5.10065,655.31514,565.97523
0.01532,1.99087,626.27212,547.81519
0.00512,3.32418,258.89142,364.79813
0.01504,5.08956,976.85399,808.97317
0.02847,4.1332,722.6538,542.26397
0.01613,9.00286,148.78371,106.74768
0.01711,8.976,152.37363,724.27589
0.00959,4.23921,922.53889,315.85875
0.00124,7.85863,379.9717,934.49121
0.02507,5.04926,407.86019,831.04527
0.01617,1.6157,891.95738,936.49512
0.00728,8.87499,16.06041,222.43655
0.00972,7.62083,850.39703,253.38659
0.01411,4.11868,644.9883,568.77212
0.01334,6.38624,744.6069,261.93525
0.00699,1.90537,415.9862,341.08537
0.00749,3.45562,843.07233,178.85315
0.02188,3.63366,519.70978,310.91796
0.00855,9.92225,822.07575,330.16281
0.00738,0.75087,988.41147,135.21029
0.02642,7.60517,508.72587,411.76758
0.01335,6.31174,711.28436,216.30083
0.02761,1.54184,239.31853,12.73927
0.00427,2.32379,162.48697,107.85174
0.01505,2.11164,271.30075,590.8821
0.01156,9.29632,713.15148,802.16513
0.00332,1.98699,985.05595,63.64985
0.01907,9.20883,203.03494,514.3987
0.00531,5.8692,0.96825,96.91015
0.01612,2.18705,680.16196,803.48425
0.02224,0.20606,549.18106,280.01341
0.0218,2.29973,191.20831,399.20324
0.0125,9.37923,341.41284,942.62192
0.01758,7.23393,622.70662,133.68145
0.01446,1.79859,709.83339,10.29132
0.01536,6.16127,117.83255,99.05683
0.02655,8.76076,18.96856,393.18257
0.00868,9.72359,331.56675,634.63663
0.01277,0.92319,416.77105,875.1144
0.01555,2.91422,299.50624,924.36816
0.01778,4.1456,811.70555,740.01285
0.02138,9.99307,762.37761,886.06299
0.02535,6.60143,865.8321,121.19384
0.00818,9.30598,371.77097,941.70994
0.01263,2.40613,904.26809,907.58065
0.00108,1.47129,365.94861,927.01064
0.00222,6.41986,362.68327,164.42758
0.02051,0.05336,547.25948,772.5967
0.01167,3.01532,366.92812,782.96136
0.00206,5.63455,450.28435,192.69349
0.0234,8.12019,422.5959,712.68936
0.01812,4.33117,593.22073,945.5528
0.01625,8.10011,46.07092,929.92051
0.0232,2.38034,565.84829,966.64851
0.00575,8.08973,770.67959,604.26283
0.02876,4.40351,147.84638,299.45641
0.00074,7.94386,956.60978,765.91655
0.02121,6.88101,172.09353,249.88802
0.02485,8.58683,602.47719,272.43192
0.01106,8.14285,307.62853,391.34529
0.01451,7.92904,131.44063,893.82716
0.01953,5.22863,213.652,872.11124
0.01221,0.09804,193.90564,199.00519
0.00643,5.19348,387.24711,471.04276
0.01146,0.42697,57.75074,309.72563
0.02849,9.32753,857.62176,25.51132
0.00563,6.05241,823.62209,900.82633
0.0297,4.74072,806.92878,137.09617
0.02736,1.16994,789.06529,881.09578
0.02371,1.5078,818.78297,377.82195
0.00306,0.28395,408.49491,342.2061
0.02008,6.99402,406.31239,328.54357
0.02152,0.03927,754.85065,445.81157
0.0147,2.27362,284.90595,486.61162
0.02256,4.82562,870.24254,671.14535
0.00473,4.72977,805.05227,608.78357
0.0174,0.86331,281.28564,821.68203
0.02314,2.2378,22.23069,366.96451
0.01039,2.97789,763.63394,569.74672
0.0266,8.02559,306.86255,656.5019
0.0083,0.4554,760.22776,587.62867
0.0148,8.45933,859.2766,601.98381
0.00399,0.61455,392.31252,635.7582
0.00772,8.20153,898.61532,730.14817
0.02986,7.96415,685.73163,398.78938
0.00815,0.44614,435.15096,863.95983
0.02576,0.13847,831.60208,824.64795
0.01957,2.74894,48.3238,34.23673
0.02829,0.24555,186.09573,715.69341
0.00186,7.97525,13.62566,277.77108
0.01312,6.73496,952.91451,904.44882
0.01452,0.37191,684.98944,126.44925
0.01733,6.52882,235.99516,573.18892
0.00254,2.5557,838.77705,433.38189
0.01155,4.54959,333.00991,868.64426
0.00146,8.90291,848.10987,723.12697
0.01034,6.08346,369.58286,535.33052
0.01773,0.16469,502.55048,53.78911
0.01819,1.38016,479.33422,502.14859
0.0217,9.98847,864.33971,509.79882
0.02785,3.50189,309.81416,749.61197
0.02725,9.43149,425.74347,88.08515
0.02821,4.48336,310.89589,790.84406
0.02277,6.17345,999.67766,365.81032
0.02774,0.35262,514.74553,504.84014
0.02082,3.81223,637.37195,644.38249
0.00489,5.2026,441.0994,103.80046
0.02339,5.48705,535.22544,49.63107
0.00244,1.44314,665.47216,968.22423
0.01892,5.24336,76.49931,967.50156
0.01717,5.07036,687.60136,351.7382
0.00143,0.19168,51.62661,477.68723
0.01305,3.95451,428.19839,847.1403
0.00896,7.65873,194.01706,892.30019
0.02858,5.84273,459.25788,343.06358
0.00675,3.22444,632.18041,376.15356
0.01869,8.84269,292.05064,77.45118
0.0054,5.89351,646.07588,26.17958
0.02147,8.34603,777.4662,506.30006
0.01059,9.39456,581.18599,191.30944
0.02354,4.04076,70.39176,47.44142
0.00477,0.32838,884.76697,396.76717
0.0046,1.25654,470.86174,852.33795
0.02264,7.75876,442.21622,352.99177
0.02219,1.23048,706.39723,354.89419
0.00103,7.37686,339.12121,825.49247
0.01231,5.3005,696.21604,372.62502
0.02428,6.80157,595.27798,812.06604
0.01948,3.61619,498.82809,50.49697
0.00334,1.56981,679.51329,884.71917
0.0161,8.55649,876.27096,887.07566
0.02745,8.13672,87.15148,610.35621
0.00344,4.8862,611.12278,673.89989
0.01018,9.96457,751.69456,795.14147
0.00627,6.71426,187.10484,636.44263
0.02006,1.89316,246.13233,545.21235
0.01038,6.76406,334.00739,129.19989
0.02087,0.4307,948.17534,953.07694
